miRNA.ID,logCPM,logFC.38vs33,F.38vs33,PValue.38vs33,FDR.38vs33,logFC.43vs38,F.43vs38,PValue.43vs38,FDR.43vs38,logFC.43vs33,F.43vs33,PValue.43vs33,FDR.43vs33
known:OW982311.1_36636,7.45034081451272,-0.046584938625389,0.0219778169942008,0.884277444396141,0.96628704609417,0.0228533715978584,0.00990011423590371,0.922164048430062,0.968629678777313,-0.0237315670275306,0.00605058759819881,0.939108429645807,0.953177469790314
known:OW982311.1_36638,7.28801404543516,0.0353191330108711,0.00806209191953938,0.929737047946221,0.967345317397203,0.180628555469364,0.414223149707188,0.53032064276515,0.707964996006678,0.215947688480235,0.332861577207626,0.573214241294415,0.693486872280297
known:OW982311.1_36874,7.68161213890296,0.772423205140583,6.05679286983938,0.0275768393806013,0.145825593786376,-0.085850039926905,0.148045922606955,0.706238685938463,0.850625261730327,0.686573165213678,4.78891491431745,0.0462448424560229,0.097909002387361
known:OW982311.1_36985,5.53498380724288,0.960439153123971,2.55916101862999,0.132155583611901,0.369218176895105,-0.60980072878448,1.96235800552593,0.183211811786994,0.375344505966951,0.350638424339491,0.32430021330441,0.578131615550739,0.696327412507778
known:OW982312.1_38000,6.40270274980446,-0.734852628277442,1.80641831628337,0.200487861171008,0.456573196448261,-0.476310834775447,1.1550721809641,0.300811166825907,0.507783482727583,-1.21116346305289,4.76028618101309,0.0468138786783624,0.0983454350529939
known:OW982312.1_38160,16.9964020651741,-0.074399144707375,0.149824325031034,0.704570878377204,0.882775272940331,-0.285104682378452,3.74905190481125,0.0734613075763186,0.203143003603901,-0.359503827085827,3.40054138598738,0.0866151320843708,0.163004866631003
known:OW982312.1_38440,11.1404579007578,-0.191195146802687,0.93513056304711,0.350075304217967,0.624147417388612,-0.00151390573218872,0.0001039990085726,0.992008392239641,0.992008392239641,-0.192709052534876,0.988526040979453,0.337113927491962,0.483374996562548
known:OW982312.1_38543,5.36615425438098,0.512932647844049,0.513668089153623,0.485436441915322,0.73493450144722,-0.686317162938504,1.85693724922072,0.194671594966275,0.390785201747115,-0.173384515094455,0.0576143362588329,0.813814361917429,0.875173381268346
known:OW982312.1_38546,11.2441855993149,-0.00943695768240906,0.000949965453499824,0.975850517433369,0.985367418916007,0.235061576771816,1.06067358823087,0.320667961707055,0.530855845597434,0.225624619089407,0.555640971426427,0.468452816530869,0.611151829870153
known:OW982313.1_39842,6.49520654498358,0.0307716068944534,0.00685009008620675,0.935219458147849,0.967345317397203,-1.86778731137307,35.7369897734187,3.49826557745179e-05,0.00158004995248239,-1.83701570447861,21.6315487318178,0.0003824048754094,0.00265722362143455
known:OW982313.1_39873,10.6101834358164,0.357336525795894,1.0463615497816,0.32383824462589,0.601097015709699,0.174689275068061,0.47297582572504,0.50294828668178,0.681494928453812,0.532025800863956,2.42133087103056,0.142185797117574,0.24542898738129
known:OW982314.1_40988,12.217646046861,-0.186320820276926,1.24288081210519,0.283840763369216,0.555262759602361,-0.216505042316731,2.93364160890535,0.108980440306254,0.259067537921007,-0.402825862593657,5.88298749300249,0.029523655505558,0.0695731360174455
known:OW982314.1_40990,12.9502586349104,0.112150351215901,0.3587672567771,0.558837684004952,0.784689183240115,-0.163522976760757,1.33732355616585,0.267015638615512,0.484384078157521,-0.0513726255448553,0.0750353952237394,0.788174252821796,0.867978433451438
known:OW982314.1_41004,14.6606654345875,-0.0176284678988085,0.010665222272011,0.919223350275872,0.967345317397203,-0.151167127557002,1.36156735985687,0.262915084724868,0.482597547688651,-0.168795595455811,0.969251898050334,0.341711397387991,0.487388361537608
known:OW982315.1_40523,6.73329419546612,2.40151934834864,20.3827987702473,0.00049506961036173,0.0268327728816058,0.237305053576981,0.635339842513857,0.438821003691319,0.632555808512486,2.63882440192562,25.1060370137856,0.000195493145101821,0.0016686703752661
known:OW982315.1_40545,11.2949324045924,-0.24992895510489,2.312008495387,0.150818552758573,0.400729553201299,-0.339949192311416,7.33983309049333,0.0170466831622399,0.0842594562530947,-0.589878147416306,12.8818286111649,0.00299695564791812,0.011783777780379
known:OW982315.1_40548,10.8114713715887,-0.0149075702028815,0.00846773013858288,0.927996335943825,0.967345317397203,0.133434333511283,1.21134975758914,0.289779367814128,0.496714493448376,0.118526763308402,0.546257200322119,0.472160915060207,0.612227789384288
known:OW982316.1_42151,8.60587854928936,-0.193436778131911,0.681796958090655,0.422929015310819,0.674198606760187,-0.883225004710925,22.9396533566853,0.000294736358363152,0.00570525379402959,-1.07666178284284,20.2086961199275,0.000513623313973984,0.00316345268379431
known:OW982316.1_42152,8.60587854928936,-0.193436778131911,0.681796958090655,0.422929015310819,0.674198606760187,-0.883225004710925,22.9396533566853,0.000294736358363152,0.00570525379402959,-1.07666178284284,20.2086961199275,0.000513623313973984,0.00316345268379431
known:OW982317.1_41863,14.5112538104294,0.170288086500312,0.885668049512794,0.362739140109929,0.630142993396095,-0.07543257165723,0.305126755195171,0.589467648201927,0.764333649103934,0.0948555148430823,0.272927238953688,0.609609330839113,0.721415408984278
known:OW982317.1_41865,12.9502478513245,0.057839949793485,0.0765661961190396,0.786082126199828,0.913569405695632,-0.224659730317175,2.00870186636864,0.178445592813356,0.369150806507019,-0.16681978052369,0.632085894565828,0.439969978648153,0.58778159193983
known:OW982317.1_41877,5.47999737674015,1.01336171959751,2.2164544017638,0.158904140055719,0.400729553201299,1.08017163530919,7.22917108077062,0.0177428774767023,0.0842594562530947,2.0935333549067,10.5799147394896,0.00583582831906522,0.0193584346306379
known:OW982317.1_41916,11.5856342108888,0.497316978380492,3.91489431571866,0.0680473012047059,0.244051114909508,-0.357447230697285,3.6742830059278,0.0760695744528255,0.206148546767157,0.139869747683207,0.315038675176906,0.583550050134108,0.69974364418736
known:OW982317.1_41918,10.8093007442538,0.11361292904172,0.321761082510718,0.579606732282165,0.785367122242334,-0.299063379947826,3.85862727797068,0.0698290864981811,0.199196657273759,-0.185450450906106,0.825310892980817,0.379129664577465,0.535125724481735
known:OW982318.1_43175,8.20375827375686,-0.211694641482988,0.735792104770812,0.405574977888315,0.674198606760187,-0.364103977843904,3.44732628606697,0.0846941368986373,0.220765608388609,-0.575798619326892,5.15655513598449,0.0396152422184494,0.0902162238756285
known:OW982319.1_40269,5.058335423499,-2.6930127039139,18.9445444933465,0.000675044072570268,0.0304894906110904,-1.0662242605971,2.94413275913528,0.108405966174072,0.259067537921007,-3.759236964511,34.1127857189404,4.43212446926682e-05,0.000667280961761837
