,NCT_72_33_32_smRNA_S31,NCT_72_33_53_smRNA_S44,NCT_72_38_71_smRNA_S47,NCT_72_38_73_smRNA_S48,NCT_72_43_21_smRNA_S29,NCT_72_43_22_smRNA_S30,RBC2_72_38_11_smRNA_S25,RBC2_72_38_12_smRNA_S26,RBC2_72_43_41_smRNA_S42,RBC2_72_43_42_smRNA_S43
novel:OW982295.1_15749,5.4261289659074,5.77212570422563,3.65753245049179,4.06557430611049,1.98428374255877,1.98428374255877,5.1802413984848,4.77137128143436,4.47080504889721,4.69840780429967
novel:OW982295.1_17096,6.9197516560512,5.65605942642612,1.98428374255877,1.98428374255877,1.98428374255877,2.9183324951733,5.00991322839769,5.56461091854607,1.98428374255877,2.93063376916467
known:OW982295.1_17122,9.96902253925403,9.72933277372932,9.65325428937484,10.241066831318,10.6272396458313,10.3926326877245,10.5718815925431,10.4903846063166,10.7963132307082,10.7175092521451
known:OW982295.1_17129,13.9606483159701,14.0182919523999,13.5914687941578,13.4486468280569,13.161108230822,13.1985568250929,13.0633725858934,13.1900402362946,13.1788204732323,13.2912227001252
novel:OW982296.1_17269,6.45306128609913,6.5340058723192,7.8938560042566,7.51553995918239,8.91404381421464,9.35779370740522,7.10014854062323,7.0304834308926,8.95369615769738,8.69609552385472
known:OW982296.1_17568,10.5223055218424,10.0783788338148,11.0803011161638,11.8177801530115,12.5063446993234,12.0217715241981,11.7465189880722,11.8179509109749,12.2041539440132,12.1370987518985
known:OW982296.1_17769,6.62594796659867,6.77565502457302,7.75612527651054,7.58123545251578,8.2277569427335,8.11784548506968,8.24197021068717,8.32597272957974,8.82051780673185,9.04562522902331
known:OW982296.1_17770,8.77796508298743,8.84608131687462,9.61392282814172,9.16773292045998,9.22702397648967,9.22511343914465,9.72075826050819,9.54677035940307,10.0506232198949,10.0798676432401
novel:OW982296.1_17909,8.5819367731344,5.97951857831161,4.41152499575613,5.40322496965254,4.47361278181666,4.45759067645058,6.71286316326863,6.33431658405167,4.47080504889721,2.93063376916467
novel:OW982296.1_20196,7.7163544386796,5.77212570422563,4.08323532037193,3.03898315731476,2.92766762638965,4.19919241120571,6.01172660070274,5.92297203088466,4.690283746042,3.49726023905537
novel:OW982296.1_20257,3.91750288252447,5.23846654920397,5.68929490066139,5.25006309938574,6.82681031885236,6.44007124008262,5.00991322839769,5.34536718369055,6.8235127208907,7.08743242787734
known:OW982296.1_20355,4.99285314866851,5.87954562567802,6.91765882463573,6.25584769853227,7.19367105106457,7.13824941191048,5.81882260908046,6.00019786572956,6.77633996921671,6.83276836469444
known:OW982296.1_20356,5.22569568136603,5.65605942642612,6.501130765301,5.66799579746151,6.77963360414127,6.80797773294128,5.4703342417471,5.84137742711345,6.51412966122707,6.46460050407992
novel:OW982297.1_21579,6.35817195148721,6.98257582641992,6.27774378100969,5.66799579746151,2.92766762638965,3.4806238166822,5.33256694574467,5.75488996364777,4.690283746042,3.90304158478243
known:OW982297.1_20532,3.91750288252447,4.8729704847982,4.08323532037193,4.39276231858477,3.49325335230059,1.98428374255877,1.98428374255877,2.86649072441154,1.98428374255877,1.98428374255877
known:OW982297.1_20558,6.9197516560512,6.466693197629,5.68929490066139,6.33415402158048,6.57379779912659,6.71207637624538,6.01172660070274,6.8751465000692,6.8235127208907,6.96571226834435
